FileName,SampleName,CellType,Batch
ALP_1_S1_001_Trimmed_Paired.genes.results,Il7rLTpos_a4b7lo_1,Il7rLTpos_a4b7lo,1
ALP_2_S5_001_Trimmed_Paired.genes.results,Il7rLTpos_a4b7lo_2,Il7rLTpos_a4b7lo,1
ALP_3_S9_001_Trimmed_Paired.genes.results,Il7rLTpos_a4b7lo_3,Il7rLTpos_a4b7lo,1
EILP_1_S3_001_Trimmed_Paired.genes.results,Il7rLTpos_Tcf7pos_1,Il7rLTpos_Tcf7pos,1
EILP_2_S7_001_Trimmed_Paired.genes.results,Il7rLTpos_Tcf7pos_2,Il7rLTpos_Tcf7pos,1
EILP_3_S11_001_Trimmed_Paired.genes.results,Il7rLTpos_Tcf7pos_3,Il7rLTpos_Tcf7pos,1
TULIP_1_S2_001_Trimmed_Paired.genes.results,Il7rLTpos_a4b7hi_1,Il7rLTpos_a4b7hi,1
TULIP_2_S6_001_Trimmed_Paired.genes.results,Il7rLTpos_a4b7hi_2,Il7rLTpos_a4b7hi,1
TULIP_3_S10_001_Trimmed_Paired.genes.results,Il7rLTpos_a4b7hi_3,Il7rLTpos_a4b7hi,1
YFP_1_S4_001_Trimmed_Paired.genes.results,Il7rLTneg_a4b7hi_1,Il7rLTneg_a4b7hi,1
YFP_2_S8_001_Trimmed_Paired.genes.results,Il7rLTneg_a4b7hi_2,Il7rLTneg_a4b7hi,1
YFP_3_S12_001_Trimmed_Paired.genes.results,Il7rLTneg_a4b7hi_3,Il7rLTneg_a4b7hi,1
